# Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Ax (m/s²),Ay (m/s²),Az (m/s²)
3.146238,118.642042,-55.093577,1831.180102,73.681689,-34.643731,556.314869,9.391609,-4.514481,59.750716
3.162653,119.852761,-55.662847,1840.319850,73.832798,-34.716383,557.276904,9.014817,-4.335857,57.452853
3.180926,121.203411,-56.297943,1850.512588,73.993533,-34.793747,558.301890,8.582191,-4.134813,54.788785
3.199200,122.556928,-56.934420,1860.723614,74.146512,-34.867540,559.278772,8.161725,-3.942874,52.149011
3.217473,123.913171,-57.572214,1870.952047,74.291945,-34.937910,560.207487,7.756074,-3.759917,49.504586
3.235746,125.272005,-58.211264,1881.197007,74.430140,-35.005024,561.087908,7.370022,-3.586719,46.856943
3.256457,126.815033,-58.936988,1892.827189,74.578475,-35.077370,562.027211,6.958726,-3.401591,43.849617
3.277167,128.361047,-59.664170,1904.476179,74.718551,-35.145982,562.904188,6.574901,-3.226394,40.837866
3.297878,129.909880,-60.392736,1916.142686,74.850913,-35.211034,563.718740,6.213505,-3.057457,37.822203
3.301214,130.159666,-60.510240,1918.023829,74.871539,-35.221185,563.844042,6.150404,-3.027430,37.288187
3.304551,130.409520,-60.627778,1919.905387,74.891899,-35.231210,563.967151,6.056115,-2.982324,36.519328
3.307887,130.659442,-60.745349,1921.787351,74.911957,-35.241089,564.087777,5.962121,-2.937233,35.750410
3.311224,130.909430,-60.862952,1923.669714,74.931700,-35.250817,564.205821,5.868385,-2.892140,34.981459
3.317897,131.409602,-61.098256,1927.435600,74.970228,-35.269812,564.434060,5.681498,-2.801869,33.443303
3.324571,131.910026,-61.333684,1931.202974,75.007476,-35.288186,564.651777,5.494316,-2.710983,31.898757
3.331244,132.410695,-61.569232,1934.971767,75.043484,-35.305957,564.859246,5.307366,-2.619760,30.354232
3.337917,132.911600,-61.804897,1938.741910,75.078267,-35.323129,565.056579,5.120344,-2.528093,28.809981
3.344591,133.412733,-62.040675,1942.513335,75.111814,-35.339694,565.243704,4.932966,-2.435876,27.266027
3.365399,134.976730,-62.776551,1954.280822,75.208534,-35.387446,565.762385,4.343447,-2.143911,22.455559
3.382202,136.241017,-63.371442,1963.790073,75.277655,-35.421546,566.108596,3.870742,-1.908462,18.672140
